EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
1.4174,1.2747,2.7151,1.4841,-5.146008454,-78.0992554,-21.61440734,-20.31510881,-16.46839889,57.7841466,60.08507102
1.2287,0.5591,2.515,1.4703,-9.895765193,-75.5020991,-22.46553047,-18.56317673,-12.56976528,56.93892236,58.30986091
0.3152,0.0437,1.7119,1.682,-35.94384252,-82.81638906,-18.80488397,-13.84257807,17.13895854,68.97381099,71.07130576
1.1091,1.1321,1.1873,2.3401,-31.89538712,-79.53065827,-17.41819627,-8.174484822,14.47719085,71.35617345,72.80997558
1.4749,1.5393,2.699,1.7602,-9.338544329,-72.74802976,-22.18688677,-20.25848232,-12.84834244,52.48954743,54.03917554
0.1035,1.6015,0.3014,2.1744,-10.76712751,-80.99743555,-7.7310205,-3.744591663,3.036107012,77.25284389,77.31248176
0,0.7754,2.6852,1.9742,-39.86740467,-83.38743388,-22.46360864,-23.54594748,17.40379603,59.8414864,62.3209083
0,0.1266,0.3935,0.3014,-14.49389799,-82.2857383,-3.310334411,-3.461912666,11.18356358,78.82382563,79.61323748
0,1.6337,1.0838,0.2853,5.990491397,-73.88714105,-1.854005681,-10.49965506,-7.844497078,63.38748598,63.87103814
0.0506,0.8951,1.3346,1.0792,-13.60380402,-82.71326997,-10.03806155,-11.97825018,3.565742477,70.73501979,70.82483705
0.0115,0.0138,1.2379,1.1781,-25.85765038,-85.50112149,-12.96252186,-10.57732151,12.89512852,74.92379998,76.02539143
1.5347,2.248,2.9867,0.1035,33.61522435,-46.16450927,-12.83575117,-22.93809598,-46.45097552,23.22641329,51.93418336
0,0.0391,0.619,2.2503,-0.626412138,-79.73964659,-15.02061286,-5.486706625,-14.39420072,74.25293996,75.63525704
0.3083,1.4082,0.3958,1.7533,-31.42225101,-85.28986221,-7.19289024,-3.797945148,24.22936077,81.49191706,85.0176127
0.4533,1.1666,0.8122,2.439,-7.018340565,-80.7753061,-14.23441954,-6.806865809,-7.21607898,73.96844029,74.31959334
1.2057,0.3843,1.517,0,13.45038642,-65.39437131,-9.832427896,-9.894335987,-23.28281431,55.50003532,60.18590668
1.4634,0.5476,1.6797,2.3309,-25.37583373,-77.99323033,-22.91729952,-10.92462442,2.458534206,67.06860591,67.11365203
0.2968,0,1.6245,2.0502,-52.76658635,-82.05359892,-20.35012821,-13.15211323,32.41645814,68.90148569,76.14618499
0.8191,0.0736,1.4496,2.2573,-15.96318715,-81.35014895,-21.41158592,-10.33590676,-5.448398765,71.01424219,71.22294324
0.295,0.0046,0,0,-19.71430673,-81.26962337,-0.662599454,0.7940544,19.05170727,82.06367777,84.24615575
1.0653,0,0,0.3336,-14.26058457,-81.17629084,-4.189600455,2.849162553,10.07098412,84.02545339,84.62683699
0.2738,0.0322,0.3728,1.9535,-11.89010513,-80.5525085,-12.76590337,-2.627306223,-0.875798243,77.92520227,77.93012365
1.2862,1.399,0.4142,0.122,9.806224159,-67.16208292,-1.06822855,-1.148469596,-10.87445271,66.01361332,66.90329488
0,1.0538,1.0999,0.7524,-10.14991586,-81.54623776,-6.37450336,-10.22156543,3.775412498,71.32467233,71.42452395
0,0.688,2.439,0.7133,-2.039160587,-78.26948276,-14.82865609,-21.27237322,-12.7894955,56.99710954,58.41439626
1.1896,1.7257,2.5564,2.5426,-13.37253203,-75.89746284,-24.18141719,-20.0431003,-10.80888516,55.85436254,56.8906127
0.0023,0.9503,0.2623,1.5555,-42.62356371,-85.97995593,-6.295860278,-3.113785422,36.32770343,82.86617051,90.47930289
0.0299,0.2784,0,0.0299,-6.770129676,-80.90418993,0.733413651,-0.142091331,7.503543327,80.7620986,81.10992376
