EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
0.3382,0.4786,1.055,0.451,1.343877877,59.55559617,0.778244503,5.31704222,-0.565633374,-54.23855395,54.24150326
0.2876,0.069,1.3944,0.5844,0.471707164,56.22896601,-0.172315267,3.266858828,-0.644022431,-52.96210718,52.96602271
0.0529,0,1.2402,0.7064,-1.735783797,48.77250292,-0.872023811,0.664494103,0.863759986,-48.10800882,48.11576242
0.3359,0.4326,0.6742,0.8353,-1.785677755,52.2009441,-0.017215638,2.626285424,1.768462117,-49.57465868,49.60619157
0.428,0.6857,1.0584,0.7018,0.969399752,60.76062552,0.854921314,5.935032037,-0.114478438,-54.82559348,54.825713
0,0.8468,0.1818,1.0239,-3.57183768,45.81554449,-0.19583927,0.77227146,3.37599841,-45.04327303,45.16961158
0,0.4418,1.0976,0.8076,-2.921802043,46.0246939,-0.373517527,1.843232305,2.548284516,-44.1814616,44.25489016
0,0.0184,0.6489,0.3106,-1.285668271,51.33783846,-0.366558923,0.506005191,0.919109347,-50.83183327,50.84014197
0,0.7892,0.3797,0.0437,1.777876041,59.9555153,1.376070794,4.782655519,-0.401805247,-55.17285978,55.17432287
0,0.589,0.5085,0.3797,-0.950935611,52.80982349,0.489209432,2.78260666,1.440145042,-50.02721683,50.04794143
0,0,0.5798,0.4878,-2.184010591,47.90563277,-0.707220112,-0.448370734,1.47679048,-48.3540035,48.37654974
0.3198,0.8652,1.185,0.0023,2.902010421,67.9887157,2.199442393,9.237579013,-0.702568028,-58.75113668,58.75533732
-0.1657,0.0184,0.6213,0.9043,-8.689399784,34.19724242,-1.607624335,-2.853505901,7.081775449,-37.05074833,37.7214726
0.1795,0.8744,0.069,0.711,-3.392860034,45.39173811,0.619275775,2.912249987,4.012135809,-42.47948812,42.66853812
0.115,0.7225,0.1335,0.9549,-5.267630041,42.03874411,-0.136711349,0.971782125,5.130918692,-41.06696199,41.38625006
0.3543,0.2117,0.5246,0.0575,2.034598743,63.20355932,0.894639028,4.263477902,-1.139959715,-58.94008142,58.95110437
0.3843,0.0069,0.6489,0.8145,0.087472458,55.4396118,-0.659414829,0.771076305,-0.746887287,-54.66853549,54.67363728
0.0943,-0.0069,0.7593,0.9733,-0.200374802,53.22683841,-1.357057622,-1.362071038,-1.15668282,-54.58890945,54.60116254
0.2807,0,0.7409,0.9748,-3.814864344,45.52661094,-1.075255505,-0.272229632,2.739608839,-45.79884057,45.88070678
0.1611,0,0.0207,0.0575,0.742914444,55.89667309,0.14607686,0.784619165,-0.596837584,-55.11205393,55.11528557
0.3543,0,0,0.2692,0.155050044,54.67543458,0.074610728,1.057302416,-0.080439316,-53.61813216,53.6181925
0.1127,0,0.1565,0.8399,-0.528447112,53.09576283,-1.206341326,-2.203945917,-0.677894214,-55.29970875,55.30386359
0.4165,0.7064,0.0552,0.0989,2.409691353,65.94741312,1.695306806,5.810692215,-0.714384547,-60.13672091,60.14096397
