EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
1.1413,1.5923,2.6461,1.5048,0.353180849,-66.26491223,33.87127747,-6.102556509,33.51809662,60.16235572,68.8692373
1.0239,0.9572,2.6691,1.5877,-0.861122976,-68.01107888,33.11391729,-6.020650937,33.97504026,61.99042795,70.69028588
0.3336,0.2347,1.8316,1.8201,-25.56517599,-67.41753686,11.64138869,-5.058754274,37.20656468,62.35878258,72.61505505
0.9411,1.4703,1.4772,2.1721,-4.401758486,-68.95847346,-10.18351277,-6.395149331,-5.781754286,62.56332412,62.82991491
1.162,1.9259,2.7082,1.7856,-0.768922302,-59.05024917,30.34402199,-6.771855336,31.1129443,52.27839383,60.83622083
0.0851,2.0157,0.6489,2.301,-35.60381931,-65.98032927,-25.24063946,-5.335826631,10.36317985,60.64450264,61.52358245
0.0414,1.0147,2.6231,2.0962,-29.51393457,-66.08393497,33.04839562,-5.957441848,62.56233019,60.12649313,86.7711953
0,0.3221,0.6121,0.3797,-13.4182745,-69.37280954,10.15593773,-1.188519674,23.57421223,68.18428986,72.14458307
0,1.8868,1.2126,0.3866,7.820690616,-66.46054594,29.57550958,-1.917170375,21.75481896,64.54337556,68.1110819
0.1726,1.07,1.4864,1.2517,-12.68886813,-71.00870799,16.5925926,-3.757033549,29.28146073,67.25167444,73.34978976
0.0874,0.1657,1.2908,1.3047,-25.38908264,-71.30066554,9.461336671,-3.454047899,34.85041931,67.84661764,76.2739487
1.3208,2.3539,2.8946,0.1818,-2.592985915,-70.86789539,66.52405538,-4.075525633,69.11704129,66.79236976,96.11652332
-0.0506,0.2002,0.8583,2.4735,-34.43426224,-69.30011316,-24.38057088,-5.278028924,10.05369136,64.02208424,64.80666617
0.3428,1.7188,0.6742,1.6314,-7.635092304,-71.17803069,-14.62808857,-4.274830947,-6.992996271,66.90319974,67.26767524
0.4487,1.3691,1.0308,2.4137,-35.63858683,-65.34414198,-22.06104354,-6.038471446,13.57754329,59.30567053,60.84005456
1.0216,0.6673,1.491,0.0092,-13.85907862,-69.68372212,31.09355212,-2.17696765,44.95263074,67.50675447,81.1042595
