EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
1.6222,2.3033,3.7483,3.0879,-4.839416697,32.9988486,-0.715546131,5.913671789,4.123870565,-27.08517681,27.39731942
1.422,1.2908,3.4469,3.3778,-28.85020908,39.38202905,-6.283376253,1.709080058,22.56683283,-37.672949,43.91483838
0.4395,0.2117,2.2273,3.2375,-35.83978181,34.79912164,-15.53936974,-7.436339232,20.30041207,-42.23546087,46.86086731
1.3944,2.1169,2.0709,4.2982,-0.025605882,35.65751023,-2.260186205,6.788272107,-2.234580322,-28.86923812,28.95559115
1.6659,2.8164,3.9209,4.0336,-22.75300712,43.34792072,-2.885515274,5.604528232,19.86749185,-37.74339248,42.6530293
0.283,2.4505,0.6719,4.0681,-38.37121124,34.34410858,-7.21373979,0.579527402,31.15747145,-33.76458117,45.94382406
0.0828,1.4381,3.9485,3.7874,-34.05161381,37.59628945,-24.03718567,-15.04960472,10.01442814,-52.64589417,53.58991458
-0.0069,0.1427,0.3428,0.6972,-14.66946245,32.20951002,-3.62597942,-2.001383173,11.04348303,-34.21089319,35.94918261
0,2.4344,1.5532,0.665,-0.943017845,35.80854074,-0.373868364,-0.212281833,0.56914948,-36.02082257,36.02531873
0.1173,1.231,1.7165,2.2181,-25.47886532,32.01906638,-9.780935313,-5.012324879,15.69793001,-37.03139126,40.22124992
0.0138,0.0713,1.2333,2.1376,0.761307452,36.72570316,-12.63630154,-7.31146369,-13.39760899,-44.03716685,46.03007703
2.0824,3.7966,4.1671,0.5062,33.07262307,94.33999563,17.84902584,17.44155301,-15.22359724,-76.89844262,78.3908693
0,0.1657,0.925,3.4929,6.334305876,40.45794761,-16.62198324,-8.31301461,-22.95628912,-48.77096222,53.90359882
0.4096,2.1951,0.7501,3.1362,-36.40933948,31.95028073,-3.31201339,2.534637265,33.09732609,-29.41564346,44.27993986
0.6995,1.7717,1.4795,3.8288,-39.28830193,35.04530593,-6.990216727,1.037199274,32.2980852,-34.00810666,46.90114739
1.1528,0.5983,1.6107,0.0506,-1.350201547,35.70544612,8.410612373,8.592426691,9.76081392,-27.11301943,28.81647638
1.5624,1.1229,2.3884,4.075,-39.28618122,37.826057,-4.035408624,5.369277657,35.25077259,-32.45677934,47.917215
0.3682,0,2.2688,3.6977,-41.19145904,35.24833741,-18.98734702,-9.634596399,22.20411202,-44.88293381,50.07494721
1.0308,0.2945,2.2296,4.1464,-1.906163916,34.4620318,-12.32256044,-2.162314514,-10.41639652,-36.62434632,38.07681788
0.214,0.0368,0,0,-2.164411343,34.45358221,2.478803373,2.451392321,4.643214716,-32.00218989,32.33727881
1.0124,0,0,0.4671,-5.046326585,33.11320872,9.318383038,10.41221595,14.36470962,-22.70099277,26.86410161
0.2945,0.2071,0.5292,2.9429,-7.509547217,31.88511635,-9.594195412,-2.725524659,-2.084648195,-34.61064101,34.67336484
1.3875,2.4022,0.6742,0.2416,21.52614731,52.89812816,19.77134326,18.69407983,-1.754804059,-34.20404833,34.24903297
0,1.5163,1.3622,1.4404,-1.684178707,33.29436101,-5.741882611,-3.122382597,-4.057703904,-36.41674361,36.64210933
0,1.0792,2.9061,1.613,-15.21054491,36.78092232,-13.69187641,-9.829870226,1.518668496,-46.61079255,46.63552654
1.5255,2.8854,3.6908,4.5858,-25.49193349,42.74225208,-5.498134573,4.149393147,19.99379891,-38.59285893,43.46447694
0.0345,1.2793,0.5446,2.8256,-37.7397985,31.48721582,-8.49348211,-2.72762204,29.24631639,-34.21483786,45.01113365
0.0276,0.2853,0,0.0506,-4.260640342,34.032371,1.053571875,0.949936651,5.314212217,-33.08243435,33.50654136
0.3889,1.7833,2.1537,3.3272,-36.41875411,34.27392904,-10.94895824,-3.882211943,25.46979587,-38.15614099,45.87593701
0.8468,1.5739,2.4804,0.8698,8.513048104,50.3046453,1.793487142,3.406226003,-6.719560962,-46.89841929,47.37735991
