EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
0.994,1.1091,1.9558,1.1735,-0.47632287,24.93289222,-75.03212739,-88.52107042,-74.55580452,-113.4539626,135.7584974
0.9181,0.6581,2.4781,1.3852,-17.44400908,24.93793286,-85.27010944,-105.7158621,-67.82610036,-130.6537949,147.2100337
0.3543,0.0713,2.0801,1.5831,-45.14027275,21.6361853,-75.82021131,-91.22119094,-30.67993856,-112.8573762,116.9531787
0.8283,0.9595,1.4105,1.942,-24.8633823,18.40832249,-77.45770624,-76.59911327,-52.59432394,-95.00743577,108.5936267
1.093,1.4358,2.0893,1.4358,24.37397448,42.61772433,-86.76553078,-98.91365456,-111.1395053,-141.5313789,179.9531073
0.1381,1.7188,0.7133,2.4321,18.32545764,36.16048943,-84.63506447,-69.14310119,-102.9605221,-105.3035906,147.274286
0.0805,0.9917,1.9259,1.682,6.207974044,28.86960283,-87.08841208,-98.07490357,-93.29638612,-126.9445064,157.5408625
0,0.2876,1.1252,0.4188,-41.74658446,19.98629526,-36.21931661,-48.4984871,5.527267854,-68.48478236,68.70746761
0,1.4174,0.9618,0.2531,-38.99486733,18.51207415,-43.40588059,-52.40796962,-4.411013268,-70.92004377,71.05708724
0.1956,1.1045,1.2724,0.9733,6.522641448,32.50557122,-59.7350675,-66.94789187,-66.25770895,-99.45346309,119.5034532
0.1058,0.115,1.2747,1.1344,7.027474594,34.4889812,-51.11386524,-59.1910516,-58.14133983,-93.6800328,110.2559021
1.0953,1.6268,2.1629,-0.1519,-0.431071296,30.93056361,-59.04671199,-86.32822836,-58.61564069,-117.258792,131.0931639
-0.2623,0.2002,1.185,2.4574,-24.99989967,21.57887787,-78.2410458,-73.70743017,-53.24114614,-95.28630804,109.1517299
0.5522,1.3691,0.4947,1.5232,-0.120852792,25.97232175,-55.62571298,-44.83916746,-55.50486019,-70.81148921,89.97253197
0.3543,1.3668,0.7432,2.255,-0.952369073,30.94921664,-76.42968456,-63.17857986,-75.47731549,-94.12779651,120.651843
0.9779,0.6972,1.3047,-0.0391,1.203166875,25.00990401,-31.74553863,-47.51150846,-32.9487055,-72.52141247,79.65533542
0.9227,0.5062,1.4979,1.9098,-33.08819157,20.5309574,-72.66256512,-74.10068365,-39.57437355,-94.63164105,102.5732837
0.2301,0,1.5555,2.1951,-9.35372826,22.46377175,-76.36042537,-78.87579157,-67.00669711,-101.3395633,121.4891129
0.5683,0.0414,1.5209,2.2296,10.43785182,31.44376851,-75.32824549,-76.07003944,-85.76609731,-107.513808,137.5319685
0.3198,0.0644,0.1012,0,-8.43553712,24.06654362,-1.578398516,-2.131879803,6.857138604,-26.19842342,27.0809479
0.7018,0,0,0.3221,-16.35167566,21.85223321,-3.339069237,1.376113747,13.01260642,-20.47611946,24.26106746
0.1657,0.0092,0.4464,2.2204,42.80402964,59.84908488,-53.31296464,-39.29058843,-96.11699428,-99.13967331,138.0838565
1.017,1.2517,0.3866,0.0529,-58.11978679,16.67562528,-20.46456627,-20.51643711,37.65522052,-37.19206239,52.92603459
0,1.1574,0.971,0.665,-5.534561582,21.37482507,-48.59386241,-54.52783717,-43.05930083,-75.90266225,87.26578667
0.0391,0.7961,1.7372,0.665,-2.102523104,24.58958756,-60.48346002,-78.43861622,-58.38093692,-103.0282038,118.4193589
0.8145,1.3438,2.3125,1.8155,23.339686,42.68303756,-99.24147463,-112.1459136,-122.5811606,-154.8289512,197.4794801
0.0644,1.2448,0.7432,1.8086,-18.04010057,27.42061185,-67.28645561,-59.08921724,-49.24635504,-86.50982909,99.54473373
0.122,0.6351,0,0.0368,-0.630209592,24.30005876,-8.078753928,-6.106529443,-7.448544336,-30.40658821,31.30561322
0.1703,0.9411,1.2333,1.774,-1.345740704,24.74919078,-72.94502944,-72.69800657,-71.59928874,-97.44719735,120.9231757
0.6972,1.1505,1.7188,0.3889,2.80743671,27.69259259,-56.08352429,-73.86414098,-58.890961,-101.5567336,117.3964029
0.6167,0.352,0.2807,1.0285,7.044185975,32.22520752,-28.23239586,-20.73422436,-35.27658183,-52.95943188,63.63284255
0.1565,0.1197,0.994,0.352,2.726182782,26.14332719,-29.28227539,-40.17603895,-32.00845817,-66.31936614,73.63966132
0.4188,1.2862,0.5476,2.1169,23.44492655,42.54179081,-68.16768801,-53.2761334,-91.61261456,-95.81792421,132.5667596
0,0.6029,0.1841,0.0644,5.5785944,28.37046852,-12.74143662,-13.62644191,-18.32003102,-41.99691043,45.81881734
