Posture,1cm,,,1.5cm,,,2cm,,,2.5cm,,,3cm,,,3.5cm,,,4cm,
,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y
21,680.3444451,1179.274665,,669.8049097,1140.517397,,1029.132941,656.0875823,,1018.64346,634.249673,,945.0038493,687.0106959,,558.6228027,1246.874634,,148.2355468,1000.17347
22,691.3705009,1185.249152,,665.2829175,1157.883079,,1022.889246,654.3024282,,1099.339101,642.0597315,,955.8627248,697.1988387,,317.1812744,1074.802368,,151.250237,1008.038037
23,561.3987136,1083.02397,,541.9971452,1074.365083,,965.7424679,615.9814119,,982.8332341,624.694165,,919.5170178,668.0394101,,729.0975952,1270.317383,,138.2910357,944.0547032
24,665.2945427,1178.393386,,676.9733032,1166.047855,,1018.305696,657.1463046,,1037.561762,654.5832763,,1024.303961,719.3915515,,514.4732056,1249.036621,,144.6008234,991.3801937
25,725.8422933,1161.431783,,662.034152,1154.00376,,996.9424725,647.7688146,,1011.329851,644.5594827,,1039.27491,721.8545504,,500.4654846,1234.478271,,144.1072159,991.3249545
26,771.8646279,1132.430799,,696.2788382,1124.53873,,1026.793866,640.9805155,,1032.485837,632.1090341,,1107.976571,711.4043329,,396.624176,1152.540405,,146.3296456,984.7764688
27,826.6894541,1187.184879,,827.2451696,1186.53455,,1103.839259,669.8348174,,1094.081727,649.9493864,,1131.979259,722.8460209,,565.5140381,1221.657715,,162.3697686,1041.104995
28,676.8274965,1174.803077,,644.4581583,1154.747244,,1009.40355,655.3088779,,1034.517623,652.8579155,,940.8626652,693.8634205,,494.4562988,1235.789429,,148.6323748,1001.224623
29,820.7760946,1173.627933,,839.8913451,1181.965971,,1091.065005,667.6773101,,1090.722311,647.3740311,,941.0320199,693.6264715,,497.376709,1233.755493,,162.5873008,1035.534029
30,619.6489394,1095.640879,,583.4164152,1099.061564,,965.2829113,621.9226761,,979.0831618,627.2620165,,966.9343603,690.93024,,480.4256897,1220.426025,,140.0370889,966.8831558
31,798.5016155,1192.435143,,713.985673,1173.496339,,1034.139142,652.4483322,,1042.571506,645.6700642,,1025.691793,714.1231737,,463.1335754,1199.899658,,158.8034472,1020.012512
32,736.4553037,1186.273773,,670.968581,1163.915138,,1008.833898,654.8036928,,1024.166629,651.2913283,,990.8192856,711.0768428,,480.7573242,1227.442017,,153.6950368,1013.706914
33,676.8499851,1178.35297,,835.2194266,1175.420175,,1081.319625,663.4447043,,1097.377625,640.2949893,,1133.406831,711.9314282,,396.1946411,1153.180054,,158.2819262,1027.227379
34,692.6577438,1183.719122,,656.2869489,1160.521764,,1020.913535,655.4286578,,1045.091488,653.8250256,,956.002444,701.6125929,,469.1153259,1217.356201,,151.1782777,1008.378082
35,686.7355013,1183.699444,,661.9296787,1163.59115,,1019.666224,650.1868799,,1044.894947,646.52349,,960.9805191,699.8557482,,480.0827332,1219.150757,,149.3756491,1001.053953
36,821.0551667,1164.499268,,825.1678581,1165.940504,,1073.738422,653.0801754,,1078.73022,640.1984668,,950.4631538,699.3544493,,511.1854858,1213.340454,,153.3224638,1010.057518
37,676.8581574,1170.554481,,675.5788666,1157.649715,,1126.642681,657.2662101,,1099.85669,634.423265,,1137.128833,713.5419979,,633.3457642,1262.333984,,175.766715,1066.412283
38,809.0422053,1204.656136,,771.6711222,1183.788076,,1043.876815,659.0859101,,1051.159769,650.607056,,1045.737374,727.5725126,,494.2642212,1235.31958,,163.9129193,1048.306581
39,710.7220008,1190.227967,,530.9755157,1055.492466,,953.0551929,606.3653169,,962.1847166,617.786267,,937.2245817,673.2250299,,609.5808716,1249.321045,,140.4540992,958.4517016
40,653.9607716,1159.804148,,605.3504945,1140.977694,,1003.822784,652.3028992,,993.9759102,643.464555,,964.3309986,698.4220934,,495.0969849,1234.61499,,150.8665597,1007.488813
41,787.3556421,1158.40264,,688.2027164,1144.079568,,1015.946666,639.6715608,,1029.532545,633.8737361,,1073.850521,717.0158038,,522.7298584,1226.408325,,148.1887633,992.4889987
42,683.5072539,1172.911411,,842.0810442,1183.864092,,1126.241298,664.1604824,,1099.048219,642.8179865,,1139.935244,719.8311582,,480.7310486,1220.731445,,170.13783,1054.573524
43,830.8294439,1193.79982,,664.7800851,1163.531848,,1108.867396,665.1778984,,1098.759277,643.838674,,945.2574333,695.1020393,,598.4604492,1239.175537,,175.0693903,1069.669252
44,709.4820535,1162.453465,,660.9650577,1146.142196,,1008.561358,639.2777598,,1011.696078,636.7580963,,995.2333469,704.9370604,,495.8258057,1233.759766,,147.1344028,987.1777534
Rest,657.7556937,1160.804777,,645.7346904,1155.524502,,991.5714507,623.7281294,,1015.15517,648.5336671,,1038.132617,708.9712263,,491.8841248,1233.859253,,148.9194236,1001.881721
ground,863.2567325,747.2522311,,901.8083771,705.9335866,,1164.898754,399.9712973,,1112.726592,428.492739,,1142.702652,409.0199494,,761.9906006,752.4487305,,772.0089335,852.6002284
hmax,191.8153081,747.2522311,,190.5690808,705.9335866,,769.8081098,399.9712973,,764.483474,428.492739,,743.0124714,409.0199494,,149.7718964,752.4487305,,110.4062834,852.6002284
vmax,863.2567325,1671.574016,,901.8083771,1691.552667,,1164.898754,943.7175026,,1112.726592,898.8940202,,1142.702652,961.6123157,,761.9906006,1612.881348,,772.0089335,1798.53582
