Ground X,Ground Y,Likelihood
1157.019605,384.8478968,0.938239932
hMax X,hMax Y,Likelihood
769.8081098,399.9712973,0.812494159
vMax X,vMax Y,Likelihood
1164.898754,943.7175026,0.708115816
Endpoint X,Endpoint Y,Likelihood
1005.125716,647.2816542,0.927916884
1017.636279,639.8490548,0.939998627
1086.24529,660.7812517,0.926491618
1075.581911,651.3780746,0.907215595
1016.168594,631.9673982,0.947411656
1019.931393,655.5757303,0.941295207
1096.579708,662.4154804,0.899718761
1029.747474,659.2626236,0.948055029
975.79287,635.2273321,0.903400302
1027.403022,660.4861432,0.944908023
1059.678889,668.4644784,0.910147309
903.0310464,555.8900909,0.183514327
993.2213812,651.976162,0.913927436
1074.3357,667.8598919,0.895774722
1010.057322,654.9400353,0.94632864
956.1439718,610.9225357,0.860331893
1058.409814,646.9782293,0.921794236
1130.555348,658.598282,0.875950277
1033.61749,656.5851333,0.919899702
1043.497705,656.3546834,0.959414721
1029.132941,656.0875823,0.94936955
1022.889246,654.3024282,0.940647125
965.7424679,615.9814119,0.921785653
1018.305696,657.1463046,0.939349294
996.9424725,647.7688146,0.927504897
1026.793866,640.9805155,0.952564776
1103.839259,669.8348174,0.852481723
1009.40355,655.3088779,0.957480431
1091.065005,667.6773101,0.906279445
965.2829113,621.9226761,0.889828801
1034.139142,652.4483322,0.944231868
1008.833898,654.8036928,0.947551489
1081.319625,663.4447043,0.916080475
1020.913535,655.4286578,0.925848722
1019.666224,650.1868799,0.949780345
1073.738422,653.0801754,0.938033581
1126.642681,657.2662101,0.843833625
1043.876815,659.0859101,0.948289096
953.0551929,606.3653169,0.873456001
1003.822784,652.3028992,0.941439688
1015.946666,639.6715608,0.94870615
1126.241298,664.1604824,0.87977767
1108.867396,665.1778984,0.900169253
1008.561358,639.2777598,0.945767164
991.5714507,623.7281294,0.940730333
