,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff,frames labeled,Unnamed: 10
0,5000,95,1,71.1,74.2,0.6,3.13,2.82,160,
1,10000,95,1,63.23,73.51,0.6,9.2,8.64,300,
2,100000,95,2,597.79,589.32,0.6,,,300,
3,14000,95,3,2.47,2.5,0.6,2.47,2.5,340,
4,16000,95,4,2.85,3.11,0.6,2.85,3.11,400,60 new format
5,20000,95,4,2.54,2.32,0.6,2.4,2.32,430?,approx 30 new format
