Ground X,Ground Y,Likelihood
850.5505561,735.2193751,0.824429393
hMax X,hMax Y,Likelihood
152.5422964,725.2122109,0.729056001
vMax X,vMax Y,Likelihood
816.8961983,1630.715341,0.942707896
Endpoint X,Endpoint Y,Likelihood
672.3688369,1201.094438,0.835775971
679.5587811,1183.134894,0.837446451
617.0902238,1173.147943,0.868528962
556.40325,1129.045921,0.827948928
552.266634,1152.913343,0.811020136
576.8147681,1166.302795,0.832040071
809.9210453,1206.557562,0.818308115
588.2572567,1158.489664,0.868686557
