Ground X,Ground Y,Likelihood
909.5876369,642.7689701,0.830606341
hMax X,hMax Y,Likelihood
161.0409815,640.4734852,0.841299176
vMax X,vMax Y,Likelihood
836.8668941,1565.794107,0.894290447
Endpoint X,Endpoint Y,Likelihood
502.6379809,1094.056621,0.974464774
607.5492206,1196.226269,0.948877454
782.4396107,1227.827124,0.857202649
559.7503817,1151.960564,0.96843946
558.3174992,1168.773043,0.974328637
594.7681932,1187.191237,0.969574749
603.5666616,1193.270175,0.963922203
504.1842092,1094.243785,0.972934604
