coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,908.4826517,642.3776641,0.80471611,681.4105325,1220.442219,0.9234339,160.9282672,640.3649197,0.825528145,836.9291348,1566.44902,0.870556593
1,156.1156216,633.2858199,0.157617837,697.1884561,1230.199154,0.934277356,159.9290547,654.1226349,0.216618359,835.1147585,1554.844817,0.31332618
2,685.6128092,1230.811845,0.144149274,688.6610246,1226.359437,0.880393565,149.2726422,627.1311012,0.205945671,151.0701401,628.676754,0.291379929
3,908.8013639,642.1392646,0.807094872,672.8080504,1218.328079,0.932557225,160.9413352,640.1427393,0.826229453,836.9734612,1565.923177,0.868650675
4,908.751873,642.2251718,0.806825459,669.4734421,1218.406763,0.886700511,160.7914288,640.1739786,0.824205995,836.9310693,1566.243669,0.874705493
5,156.2120812,633.2865064,0.15488407,675.6532941,1223.638185,0.874587536,159.9252272,654.2232008,0.216718286,154.8851997,635.0988337,0.304311424
6,908.6789536,642.6852942,0.806594968,685.093626,1222.20913,0.891106367,160.8175004,640.0348535,0.82309854,836.9284627,1566.117407,0.868554473
7,909.0573812,642.5415524,0.81213975,684.510334,1222.211317,0.894555926,160.9547763,639.994628,0.82810986,836.9730321,1566.018557,0.870974779
8,156.6631269,632.7031254,0.184649378,680.276287,1221.416984,0.912081957,154.2324396,633.335109,0.294897914,838.7228613,1551.713076,0.380799353
9,150.6179302,625.6613182,0.16760397,675.8629786,1219.83979,0.941881776,147.2919141,625.8696179,0.278483391,149.0937483,627.7897284,0.306033194
10,908.9632626,642.7992816,0.808620155,678.7367699,1220.431476,0.937960148,160.8796647,640.3375468,0.823562741,837.0503045,1566.263334,0.875626326
11,909.0920444,642.7252213,0.812343836,681.5073171,1221.445384,0.92434001,160.8190413,640.2047718,0.822005808,837.1277947,1566.350917,0.873393297
12,156.0337763,632.9667423,0.156698108,681.2597528,1223.443171,0.941174388,160.4903731,654.3587849,0.218184501,837.0658469,1554.33071,0.392798454
13,151.9660766,625.7970199,0.15984416,680.648514,1222.607231,0.920432925,149.1453204,626.5159325,0.230363727,151.2069769,627.8825922,0.316738635
14,909.0575008,642.5917349,0.812969804,679.8361936,1221.152338,0.932563722,160.9096889,640.1594851,0.828770936,837.3242586,1566.150105,0.870581865
15,909.1339154,642.6659435,0.812404633,680.0496149,1221.472353,0.9340446,160.9374044,640.2393291,0.828698158,837.3232062,1566.121767,0.874150515
16,156.1138351,633.1326676,0.160775453,681.1783807,1223.661558,0.941615939,153.9506153,634.4237676,0.217074931,837.1366024,1554.602552,0.358726621
17,149.0839832,626.6709143,0.152117014,679.8593826,1222.857943,0.916885018,146.4677103,627.3809207,0.222130865,148.1186373,628.7973812,0.296458423
18,909.0365472,642.7352947,0.813209176,679.5078394,1221.021869,0.938744068,161.0658138,640.3907743,0.827110291,837.2601978,1566.196011,0.871815801
19,909.1513581,642.759136,0.8149755,679.3500097,1221.237437,0.940463603,161.0131192,640.4912255,0.829244137,837.1967357,1566.150235,0.873896658
20,157.6997566,634.1328865,0.156323463,678.5846477,1224.455841,0.925196171,160.7772603,653.9383349,0.225710273,835.0425644,1555.745239,0.333755672
21,153.3089638,627.5163594,0.158197343,680.56205,1223.267891,0.939279914,150.4078333,628.2965695,0.220436871,152.4020402,629.9181434,0.307756007
22,909.2960844,642.8521481,0.817534447,679.1501029,1221.223967,0.941138446,160.9647763,640.3421795,0.828605413,837.366239,1566.083493,0.877104402
23,909.2511525,642.7779511,0.814615726,679.4024072,1221.124047,0.939581454,160.9748414,640.3821697,0.827450633,837.3508866,1566.087725,0.874144614
24,156.1846807,633.0818741,0.162753493,681.0856432,1223.764098,0.939764619,154.0620073,634.5313686,0.222260684,837.0544205,1554.64759,0.346285164
25,149.9957714,626.620833,0.147833169,679.4868834,1223.482818,0.920309901,147.2710884,627.2737526,0.213060886,149.1542341,628.713367,0.289731026
26,909.3273396,642.7469248,0.810814023,679.9047906,1221.860305,0.9354738,161.071594,640.3638351,0.829101861,837.3930823,1566.101999,0.87019062
27,909.3328338,642.7636681,0.811861157,679.6440656,1221.441965,0.938429832,161.0837588,640.3871942,0.829463363,837.3322415,1566.181665,0.872554302
28,157.6075268,634.0430086,0.15353784,678.7013454,1224.259745,0.925023437,160.9092779,654.0241795,0.234086782,155.8903141,634.7892451,0.302664518
29,908.8839622,643.1302947,0.806792617,679.4210644,1221.50836,0.938018918,160.8152175,640.36394,0.832155883,837.3303667,1566.040016,0.865760088
30,908.9009433,643.1825201,0.806360245,679.739727,1221.334366,0.93976891,160.7817972,640.3529398,0.832623243,837.2629524,1566.121869,0.86822629
31,156.2218418,633.4767376,0.155379087,678.5521059,1223.9871,0.933214068,160.3311267,654.0423331,0.233994454,155.124346,635.0840448,0.309011579
32,908.8779459,643.1104465,0.806305826,679.5756705,1221.439359,0.94166398,160.8118682,640.3657947,0.829836011,837.3567148,1566.155273,0.86581862
33,908.9506016,643.0470018,0.80951345,679.672719,1221.418002,0.940413177,160.7790439,640.4464402,0.828455567,837.2589945,1566.005508,0.86866653
34,156.2155929,633.4992468,0.155190259,678.7228332,1224.029717,0.934340775,160.3068738,654.0315912,0.231372923,155.1040057,635.0515959,0.307438999
35,908.7888169,643.1151187,0.807814121,679.788027,1221.386131,0.936907828,160.7018616,640.5526636,0.828624368,837.0592798,1565.892042,0.86590445
36,908.7650719,643.0235639,0.809447229,679.6935146,1221.310987,0.934511721,160.6471047,640.3945241,0.825571954,837.0289807,1565.76608,0.863964915
37,156.1826565,633.5036084,0.156663895,678.6708469,1224.058816,0.933417678,160.2256427,654.0067554,0.230113357,155.1080805,635.0840081,0.30704546
38,908.7094722,643.0601298,0.806466401,679.5026562,1221.456224,0.935965776,160.6386969,640.3301413,0.820805788,837.0296447,1565.778372,0.866618097
39,908.8717022,643.0434961,0.80777508,679.2425413,1221.291039,0.938812375,160.626785,640.2805712,0.820494592,836.8809711,1565.863806,0.867838264
40,156.27705,633.3998229,0.154312789,678.3420913,1224.123611,0.931963563,160.1298537,653.9857836,0.21926263,155.117016,634.9955304,0.307572007
41,908.8768921,643.1078731,0.810238004,679.6221986,1221.35672,0.936873794,160.5907612,640.2688491,0.824334621,836.9867487,1566.000391,0.869056106
42,909.1502209,642.7584397,0.810223401,678.8814054,1221.085007,0.934280396,160.7859099,640.5919995,0.825586736,837.2298524,1566.270619,0.870511532
43,156.0369253,633.1306041,0.16315639,680.2322043,1223.322766,0.937671304,160.5853105,654.1573029,0.228803664,836.6932001,1554.465491,0.355416656
44,152.0651391,626.3401982,0.15096736,678.5801572,1223.514304,0.923788786,149.1905243,626.9346229,0.210481465,151.050335,628.8020468,0.29853034
45,909.1203222,642.7407306,0.806173801,678.7311552,1220.98923,0.935761631,160.7620237,640.1446691,0.820474267,837.180136,1566.131039,0.870167851
46,908.8878112,642.8688996,0.806728959,678.6492112,1220.97872,0.935510993,160.7500486,640.1234703,0.820217133,837.3790265,1566.110723,0.867536306
47,156.2377033,633.3198947,0.159076959,676.5896974,1221.605554,0.894071281,160.1614361,654.0843635,0.227580339,155.0152478,635.0943627,0.309022695
48,911.1038933,640.865612,0.801228881,643.7198518,1189.791879,0.814282179,160.8866336,640.0659237,0.82660991,837.5893182,1566.058523,0.853473186
49,912.0263712,639.9137058,0.692992747,549.1501346,1122.69888,0.498480648,160.7853727,640.1675451,0.825965524,837.0552837,1565.825258,0.860694051
50,156.0793574,632.485171,0.158803552,463.2269096,1053.541391,0.882799268,159.987299,653.9782338,0.236751676,835.4907312,1554.008119,0.391079456
51,151.9797275,625.4101226,0.148599178,480.9996653,1073.717827,0.95020622,148.9485244,626.1372432,0.215237617,150.8248864,627.8195866,0.28970921
52,911.6092033,640.9949567,0.676358879,519.5284524,1105.383279,0.940018237,160.8656595,640.1670339,0.827483952,837.0096761,1565.703137,0.869242549
53,911.537117,641.0835419,0.691319585,518.1028488,1104.246091,0.949136734,160.7597532,640.4992125,0.829096317,836.9909405,1565.845465,0.873137295
54,156.2705283,633.38195,0.163557589,495.3190432,1088.5423,0.873167276,160.0661864,654.2027979,0.228089809,837.0755639,1553.450533,0.355728209
55,152.7580328,626.717032,0.172697961,491.6737375,1080.619134,0.882948518,149.4990187,627.0625389,0.274318814,151.2709961,628.7763753,0.315644801
56,912.0867326,640.8803272,0.675669909,503.5358994,1091.057513,0.952409506,160.9874907,640.2157581,0.823159695,836.9275976,1565.472167,0.871181011
57,911.8904743,641.049686,0.678430855,508.9739709,1097.95227,0.906884491,160.9191229,640.3539081,0.826063991,837.043564,1565.743429,0.876066089
58,156.3061376,633.3925852,0.157487631,502.6379809,1094.056621,0.974464774,160.1728959,654.1278734,0.215649664,837.0965762,1553.24755,0.329940021
59,152.9553156,626.6407414,0.169794679,500.5710256,1088.565873,0.972477078,149.3927382,626.9829986,0.273369014,151.2384423,628.7935221,0.313939363
60,911.9528694,640.9783766,0.677631676,502.630718,1091.287922,0.954741478,160.7688427,640.2758183,0.825813055,837.1521256,1565.587315,0.87236768
61,912.2559593,641.0749218,0.68517381,506.1959419,1093.260333,0.885025024,160.7686439,640.4988608,0.822116852,837.1451484,1565.780564,0.872370839
62,156.3372123,633.4332659,0.159946442,502.2594132,1094.250369,0.971843064,160.1928787,654.1587999,0.217446178,837.1517158,1553.380446,0.36654526
63,153.0508461,626.6910435,0.168915629,504.4101944,1091.290548,0.956487775,149.4234381,627.1027453,0.272221625,151.2206737,628.801614,0.314560771
64,912.3630974,641.1748645,0.682247281,504.1069942,1092.545236,0.937904418,161.0622938,640.4905584,0.831405818,836.9955273,1565.418837,0.877707005
65,912.4258304,641.1385455,0.689239025,504.0438623,1092.514148,0.937106371,161.0703428,640.4561028,0.834482908,837.2108331,1565.693989,0.877674818
66,157.7778413,633.8708132,0.154850632,502.599596,1094.348969,0.974645853,160.9851489,654.0436318,0.215298802,837.2408257,1552.891154,0.35656929
67,153.742214,626.2709148,0.170491815,503.3325639,1092.378362,0.969038308,150.3080564,626.7455678,0.28243041,152.2096624,629.0927269,0.329294086
68,912.3840082,640.9306602,0.685576141,504.018064,1092.149039,0.939573944,160.9718454,640.0120142,0.827295601,837.0908051,1565.387024,0.874153137
69,912.423094,641.1630445,0.690408409,504.2628164,1092.194989,0.938492656,160.8167515,640.5482137,0.823589504,837.2607983,1565.583609,0.877459168
70,156.2263608,633.3426332,0.154980749,503.6099591,1094.230398,0.97228235,160.1348801,654.2418983,0.211874336,837.0411777,1553.417806,0.369789779
71,152.9393632,626.5960969,0.174567997,507.1080003,1092.692289,0.91186589,149.5231034,627.0455315,0.284851313,151.4207238,628.7759948,0.328730464
72,911.936368,641.1268506,0.687529624,504.9352102,1092.554456,0.928886652,160.9466617,640.0308771,0.824587941,837.1658566,1565.944304,0.87554121
73,911.9785581,641.1826425,0.689882696,505.0459232,1092.669999,0.92225188,161.2161729,640.2848542,0.828277469,837.2965267,1565.96695,0.876701117
74,157.0946691,633.4862409,0.160668463,505.5935211,1094.258431,0.971071005,155.2716573,635.0764875,0.225878388,839.2122476,1553.819141,0.41793555
75,151.8148229,626.3901454,0.159206122,504.7898834,1092.917465,0.93959868,148.1987651,626.6262849,0.267811,150.1959624,628.9195567,0.301042795
76,912.1018777,641.0901105,0.692576051,505.2740788,1092.580829,0.919949412,161.0509851,640.2406018,0.820084095,837.6137849,1565.93266,0.873106182
77,911.9777226,641.148165,0.690495431,505.2632446,1092.676956,0.919320881,161.0471914,640.3195784,0.819432259,837.6101596,1565.993515,0.871341765
78,157.2157223,633.3617017,0.160492033,505.9316745,1094.212491,0.972271442,155.2170907,634.9293983,0.226559371,839.116369,1553.851737,0.425263554
79,151.7744515,626.351911,0.158607423,505.0104337,1093.026415,0.932236671,148.2236224,626.5946681,0.269348681,150.2396986,628.9293399,0.301888049
80,911.8481731,641.1997712,0.687238157,505.4993343,1092.88964,0.912831187,160.9243698,640.4150491,0.822383463,837.4019967,1565.869344,0.869562149
81,911.7690425,641.2231762,0.688469291,505.6740861,1092.835563,0.903855979,160.962667,640.6122477,0.823865771,837.3565196,1566.04712,0.875606835
82,156.2411277,633.485088,0.156518191,504.1842092,1094.243785,0.972934604,160.108963,654.3109658,0.210728616,835.1985898,1554.828022,0.342094868
83,152.1008375,626.3857678,0.149055749,505.3513267,1095.430285,0.919143081,149.157959,627.0092153,0.210927874,150.9021613,628.8173041,0.289029777
84,912.1516414,641.0165577,0.67602855,505.9564428,1093.693788,0.877303123,160.840296,640.3437345,0.824063659,837.3373384,1565.765667,0.866800427
85,912.1436706,641.0047901,0.67596215,505.9528399,1093.854234,0.877415597,160.8616095,640.4196711,0.82780087,837.2740424,1565.734721,0.864834785
86,156.2826791,633.338087,0.160308182,504.4940009,1094.596501,0.97246778,154.4709699,634.8617924,0.214072645,837.105361,1553.364263,0.353248179
87,150.6793549,626.5873027,0.161805302,506.0813169,1094.172995,0.863116384,147.3104681,626.6944294,0.274834514,149.1011745,628.8731301,0.29418689
88,912.1777439,640.9545274,0.671575963,506.0879865,1093.916063,0.873522699,160.7902534,640.3744535,0.826106906,837.260617,1565.825969,0.863657594
89,912.3616099,641.0540259,0.677642345,506.2809405,1093.97838,0.871592402,160.7228227,640.5177543,0.821659982,837.24005,1565.842423,0.865417182
90,156.2604043,633.2755511,0.158540338,504.6237081,1094.620685,0.970729947,159.9862394,653.9959164,0.216462582,837.1664886,1553.496377,0.36167407
91,152.9750352,626.7024661,0.16973415,508.1946473,1094.052779,0.858253241,149.4846669,626.9963065,0.280251205,151.2598923,628.8948467,0.316071689
92,912.2931864,641.0429142,0.674954414,506.1245999,1093.986964,0.864704609,160.7086015,640.6774931,0.823397756,837.2542797,1565.84337,0.867141485
93,912.1593561,641.0235536,0.673454344,505.9772925,1094.031545,0.873471379,160.7031109,640.7615807,0.825015068,837.3129493,1565.929978,0.868030548
94,156.4219794,633.4321065,0.159173548,504.6066362,1094.763379,0.97180295,160.0623546,653.974947,0.209977448,837.1231718,1553.370398,0.361175895
95,152.8929987,626.7398397,0.168056399,508.1970887,1094.144709,0.851207554,149.4601449,626.9932811,0.275717556,151.2682655,628.979597,0.310842425
96,912.1967273,641.0320203,0.67401588,506.1237974,1094.116144,0.864549637,160.8081186,640.7317319,0.825622678,837.2224292,1565.861882,0.865360141
97,912.4360244,641.1298044,0.682076991,506.1872478,1094.194419,0.864113927,160.7920618,640.8469975,0.823463082,837.3685195,1566.177858,0.87408179
98,156.2083106,633.4814355,0.160513937,504.4710736,1094.962452,0.972672701,160.0890303,654.3534198,0.216861933,834.9037547,1554.718798,0.331717312
99,152.0326724,626.7552641,0.165588558,508.3043265,1096.303196,0.835473835,149.4387879,627.5743002,0.227748066,151.368854,628.9399812,0.323542833
100,910.138382,641.1027713,0.671477437,506.8075132,1105.378474,0.942120433,161.0972083,640.409533,0.827610731,837.4596583,1565.977167,0.869913876
101,908.3216715,641.5348246,0.66846323,540.5634155,1142.478538,0.953265548,161.0396202,640.5437701,0.830007553,837.393941,1566.050848,0.869137347
102,157.5298042,633.870627,0.154929519,598.1802297,1185.607015,0.838754356,160.9130015,654.4132311,0.229439974,155.9069529,634.9036704,0.303543866
103,910.3435779,643.4587438,0.813793242,643.5534604,1209.940344,0.920369923,161.1014507,640.4159698,0.829021811,837.8015859,1566.164867,0.866196573
104,910.1646824,643.5849282,0.811165273,649.1738181,1212.836091,0.861302972,161.1499462,640.3611825,0.83001101,837.5719233,1566.313873,0.865307331
105,157.0476582,633.3748648,0.162976563,614.5378752,1198.674666,0.940444946,161.6135583,654.4355016,0.23353228,156.5445111,635.1848007,0.333811849
106,909.3440175,642.50288,0.770480275,586.1026268,1184.653756,0.868905067,161.1408935,640.4008954,0.83359766,837.3472909,1565.970432,0.862784147
107,908.9596224,642.488031,0.748195648,586.1501951,1184.726832,0.859202027,161.1059132,640.382313,0.835752487,837.4529344,1565.960634,0.861058474
108,157.5651903,633.8133331,0.157292157,604.6050028,1193.822069,0.968034089,160.9454589,654.3827448,0.227221549,155.8534316,634.8584803,0.307297409
109,909.4079256,642.9610696,0.788416862,619.1139841,1202.683765,0.912355423,160.9191511,640.4107172,0.836275816,837.6860909,1566.239265,0.865016222
110,909.2794819,642.9525467,0.785037994,616.6277366,1198.882041,0.922009945,160.9135532,640.4345756,0.835348964,837.5768632,1566.159338,0.859011889
111,156.0941489,633.0610685,0.166132718,605.7503383,1193.474731,0.95990181,160.6060705,654.2844055,0.226579756,155.7088957,635.1469297,0.337098032
112,908.7191381,642.7428224,0.744211793,599.0126085,1189.421211,0.95717895,161.0562189,640.4084911,0.834559083,837.3049817,1566.039477,0.854243994
113,908.7007666,642.7855152,0.749143958,602.1148911,1192.58134,0.859750152,161.0862679,640.3073447,0.834111691,837.2960352,1566.125881,0.856794953
114,157.7325239,633.9597865,0.159996361,610.7399659,1197.918478,0.895264149,160.8732429,654.2679956,0.225785077,155.7631021,634.9249867,0.310342044
115,908.9228635,643.1146846,0.754103899,608.4170718,1195.849106,0.911584795,161.0862501,640.2038779,0.829509079,837.370028,1566.221547,0.852272153
116,909.1405177,643.0358593,0.760105252,604.7899117,1193.562228,0.898501873,161.0154066,640.2190697,0.830620766,837.2286239,1566.009483,0.859245002
117,157.77949,633.939608,0.161202163,603.7695456,1195.007911,0.964994669,160.8740034,654.1364956,0.227281123,155.6493051,634.8937815,0.313040316
118,909.2585206,643.0364277,0.773287594,605.2641277,1194.292903,0.882546127,160.9651053,640.3789063,0.831773698,837.4002,1566.104881,0.854355454
119,909.0633068,643.0294833,0.774213552,606.6680923,1194.896006,0.88628149,160.9141679,640.3838911,0.831377625,837.2747182,1566.119816,0.856016636
120,156.2443128,633.0769843,0.162467837,610.3299971,1196.815921,0.891791344,160.4265494,654.4236386,0.228568494,155.7168541,635.1265736,0.333735675
121,909.2340665,642.8814827,0.773728669,604.4102597,1193.539883,0.899454355,160.9079175,640.41365,0.828373551,837.3302618,1566.136258,0.857700706
122,909.2872086,642.7971174,0.774200916,604.9734082,1193.987922,0.898229957,160.9330788,640.4175947,0.828636646,837.3885684,1566.213715,0.85859251
123,156.1498857,633.0224227,0.161453664,610.4431963,1196.523252,0.895530224,160.4020815,654.404484,0.222022027,155.7646549,635.1264389,0.330466419
124,909.1753464,642.8045833,0.765061736,605.6513472,1193.976112,0.893444657,160.911052,640.3840971,0.829994678,837.3103135,1566.048522,0.859467626
125,909.3140087,642.7696323,0.769260526,604.88133,1193.807789,0.897132993,160.9170234,640.4285545,0.829851031,837.3692448,1566.265698,0.862775207
126,156.1385653,633.2281186,0.160293102,610.5227594,1196.959864,0.90435636,160.3493161,654.2851727,0.225151241,837.2171659,1555.170062,0.335170805
127,152.0996373,626.8657379,0.159588397,608.0490508,1198.360232,0.910566807,149.5195806,627.3652815,0.219651699,151.2681115,628.9376578,0.315883309
128,909.4505277,642.8609996,0.779072404,605.378624,1194.304353,0.900456548,160.7624366,640.4534903,0.817237973,837.1942396,1565.80278,0.873546124
129,909.0582137,643.0211561,0.768053651,605.2740893,1194.288279,0.903539896,160.7827618,640.4445901,0.814854324,837.194098,1565.924983,0.870490193
130,156.1127641,633.1827682,0.156576306,610.3562841,1196.808916,0.906948805,160.4104404,654.3651876,0.220766753,839.3927798,1553.310231,0.349680007
131,152.751611,626.4453834,0.164299101,605.2653828,1194.606689,0.826416194,149.2894859,626.6010966,0.272782743,151.2254448,629.1263957,0.308383822
132,908.7748456,642.9460379,0.761733294,605.8771067,1194.701716,0.889309525,161.011168,640.3069723,0.825936913,837.3523505,1566.009009,0.865214467
133,908.7907567,642.8519595,0.768781781,605.9917145,1194.7705,0.883058369,160.9937,640.3578415,0.826167107,837.3721523,1565.987159,0.864484072
134,156.2580843,633.4454246,0.154350102,608.3065128,1196.726897,0.934039354,160.0648322,654.4043629,0.220302403,155.1089392,635.0093217,0.301816642
135,908.9220343,642.7862465,0.771304131,605.7668605,1194.461517,0.888110161,160.969269,640.3403785,0.825403214,837.3095863,1565.964373,0.869873881
136,908.8209209,642.8786658,0.767681122,605.3993154,1194.048614,0.902618349,160.8960018,640.3295648,0.822806895,837.3088447,1565.953022,0.866401076
137,156.2552338,633.5116564,0.153823495,607.5492206,1196.226269,0.948877454,160.0913863,654.3854432,0.220583797,155.0624368,634.9478568,0.30149883
138,908.7956171,643.049369,0.765266418,605.8248916,1194.303755,0.888430476,160.8659403,640.206991,0.818965971,837.2189125,1565.91047,0.867976367
139,908.9937587,643.0001289,0.766236007,605.4657702,1194.525576,0.891897261,161.0318255,640.1177437,0.82183975,837.2766796,1565.928599,0.868390858
140,157.6676404,633.8601148,0.155580163,606.8581221,1196.489072,0.948854327,161.0701313,654.35273,0.227837831,156.0396771,635.0455822,0.303847551
141,909.1408167,642.8451658,0.777566016,605.7412257,1194.361362,0.887393713,161.1018617,640.4300194,0.831925392,837.3574488,1565.959034,0.860505283
142,909.2112765,642.9177885,0.774545312,605.8840618,1194.158843,0.894787431,160.9485593,640.4215939,0.83085227,837.4221587,1565.923182,0.859892845
143,155.9546326,633.2077954,0.15942651,610.6317501,1197.091952,0.887874603,160.3707728,654.3972785,0.230245739,839.0850053,1553.841104,0.349122643
144,151.6990387,626.5322544,0.161642849,605.5167403,1194.051892,0.86080718,148.2385625,626.655226,0.275577426,150.2152108,629.0228906,0.302031219
