coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
37,726.4697771,294.5383081,0.107554287,942.9169743,628.2388914,0.884589911,733.2050272,301.7183261,0.310292542,734.2046554,299.8436229,0.454632849
38,1117.013587,391.6604462,0.876976013,940.5680701,627.0822697,0.866856754,738.2942939,306.8450127,0.871322155,1073.084176,790.4925108,0.827101231
39,1116.983768,391.7261274,0.877120018,940.5090575,627.3102024,0.866954029,738.2942902,306.8220862,0.871261835,1073.096717,790.5117962,0.827845335
40,726.4828339,294.5159125,0.107392192,942.9912562,628.2202629,0.88265264,733.1921929,301.7313762,0.309647024,734.2002413,299.8594166,0.454044849
41,1116.848259,391.7435639,0.877022028,940.4910944,627.2644637,0.864127934,738.3164098,306.8984512,0.869657516,1073.024702,790.5711484,0.82710886
42,1116.7661,391.7850296,0.876189888,940.5641114,627.2253745,0.866557837,738.3263891,306.9207344,0.870459974,1072.996383,790.5778551,0.826995552
43,726.4903355,294.5268273,0.107957125,943.1621783,628.4227661,0.879531264,733.2019713,301.7218642,0.310439557,734.2008102,299.8587015,0.455445498
44,1116.781513,391.7792835,0.876190186,940.554635,627.1851202,0.866090059,738.315406,306.8782489,0.870954514,1073.002102,790.5778246,0.826298594
45,1117.290079,391.9211714,0.88168025,940.5471341,627.1261776,0.866985977,738.1462247,306.9746721,0.869477034,1072.998785,790.7231061,0.812564015
46,726.4107776,294.1275063,0.097769976,941.0687354,628.6848021,0.922095776,733.4362013,302.2847028,0.321440041,733.7495096,299.2103115,0.454381466
47,1117.2239,391.9131207,0.880673766,940.5700089,627.1515102,0.869659424,738.1481839,306.9637892,0.870356679,1073.023277,790.6804941,0.813062668
48,1117.167912,391.9188867,0.881376386,940.5299014,627.0774304,0.869539022,738.1478177,306.9474447,0.870767713,1073.003485,790.6910415,0.813837945
49,726.4080353,294.1297655,0.097848356,941.0397731,628.624875,0.923059106,733.4407914,302.2764049,0.322066247,733.7524016,299.2149056,0.45533064
50,1117.200612,391.8968389,0.882336438,940.519161,627.1265846,0.8702932,738.1526506,306.9611787,0.871009231,1072.985952,790.6509366,0.811649084
51,1117.208129,391.8795326,0.881641388,940.5937712,627.0544292,0.870073915,738.1630191,306.9651204,0.871432304,1072.935348,790.6309206,0.812064528
52,726.4025178,294.144043,0.098131686,941.0821273,628.6535837,0.923625827,733.4532676,302.2729211,0.32335031,733.7359484,299.1771643,0.456602037
53,1117.208094,391.9091334,0.880663276,940.5941238,627.0208059,0.869787872,738.1571937,306.9303753,0.870519161,1072.907466,790.6536689,0.810280085
54,1117.183689,391.9202027,0.880240738,940.6226134,627.0774365,0.869763732,738.1443739,306.9366796,0.87230885,1072.939966,790.6824203,0.809640646
55,726.3955846,294.1512532,0.09840861,941.1117215,628.6362317,0.92293644,733.4871881,302.2771559,0.324054718,733.7362388,299.1582614,0.456209868
56,1117.223518,391.9208412,0.879853368,940.6887643,627.077796,0.869602025,738.189527,306.8684845,0.874111056,1072.892202,790.6654606,0.80982101
57,1117.190518,391.8954604,0.880359054,940.6881393,627.0369594,0.870432615,738.2027886,306.8363892,0.874257565,1072.829073,790.6204097,0.807632565
58,726.4053802,294.1650839,0.098507613,941.1082288,628.6351489,0.923266292,733.494108,302.2685099,0.324664921,733.7390585,299.1563031,0.457184225
59,1117.198462,391.9072001,0.88048631,940.6248059,627.03113,0.870593429,738.2040532,306.8252472,0.874013186,1072.816442,790.6078453,0.807497859
60,1117.102463,391.9144316,0.87500304,940.5381454,626.930286,0.873324454,738.1263305,306.9006416,0.866987705,1072.926806,790.5414054,0.814770341
61,726.3487806,294.2880359,0.094198465,940.9956114,628.7776574,0.922117591,733.3522455,302.1524458,0.320212632,733.7034043,299.0807307,0.447269291
62,1117.11528,391.9190707,0.874444962,940.5072643,626.9038306,0.872546375,738.13431,306.9108636,0.867515326,1072.937442,790.5200744,0.808705032
63,1117.078845,391.9685216,0.873487651,940.5405482,626.9500852,0.873299599,738.1407508,306.8740602,0.867547274,1072.910391,790.4873319,0.81311518
64,726.3541169,294.303915,0.094675958,941.0640893,628.7224552,0.921816409,733.3712758,302.1516752,0.320841819,733.7050972,299.1002465,0.448009282
65,1117.147485,391.9892156,0.873707891,940.52729,626.9284898,0.871455669,738.157979,306.9130527,0.86691618,1072.885081,790.4908319,0.812942326
66,1117.087396,391.9728596,0.873042107,940.493502,626.8834585,0.872053802,738.1773353,306.8737851,0.869547486,1072.897587,790.5244589,0.811422586
67,726.3376856,294.3544393,0.094939411,941.0390027,628.7010477,0.921692193,733.4250185,302.1495566,0.321843266,733.7313963,299.0445752,0.448055655
68,1117.129597,391.9261975,0.873162031,940.4959016,626.8564212,0.872641027,738.2056969,306.8901043,0.869192123,1072.910605,790.5274382,0.811683714
69,1117.13506,391.9190247,0.874676585,940.5200158,626.8996851,0.872255623,738.2163571,306.8913085,0.869326711,1072.923568,790.5464578,0.810276389
70,726.323112,294.3626623,0.096579969,941.0576434,628.7153114,0.921597004,733.4071003,302.1753969,0.321786672,733.7057542,299.0277668,0.448830813
71,1117.206043,391.8511949,0.875953794,940.5364882,626.8849523,0.872753143,738.2299514,306.8879358,0.866271019,1072.920274,790.4771099,0.81119746
72,1117.231152,391.8719618,0.875389218,940.5346426,626.8980174,0.87226814,738.2378515,306.8859863,0.868310094,1072.90339,790.4861381,0.81250447
73,726.2688756,294.4644585,0.098289818,941.0966711,628.7517241,0.92111516,733.449137,302.1906657,0.32357794,733.6070998,299.0287332,0.449645728
74,1117.228912,391.8466229,0.875105619,940.5273983,626.8146782,0.873265207,738.2281566,306.872682,0.868360102,1072.900756,790.4948659,0.812648535
75,1117.044598,391.9164338,0.879798293,940.4631388,627.0025151,0.866231799,738.363589,306.7383252,0.867100418,1072.791255,790.516593,0.81378603
76,726.3777246,294.2983017,0.09442082,941.0519569,628.4427164,0.925332904,733.4635524,302.0499387,0.31864059,733.7266464,299.1007347,0.440168649
