A0;A1;A2;A3;T0;T1;T2;T3;
0.1;0.1;0.1;0.1;0.0;0.0;0.0;-0.03681553890925539;
0.0;0.0;0.0;0.8;0.011504855909142308;0.0;0.0;-0.2462039164556454;
0.1;0.1;0.1;1.0;0.025310683000113077;0.0;0.0;-0.5269224006387176;
0.0;0.0;0.0;0.8;0.029912625363770005;0.0;-0.0046019423636569235;-0.842155452549217;
0.1;0.1;1.0;0.1;0.029912625363770005;0.0;-0.0046019423636569235;-1.1504855909142309;
0.0;0.0;0.0;0.8;0.029912625363770005;0.0;-0.0046019423636569235;-1.424301161551818;
0.1;1.0;0.1;0.1;0.029912625363770005;0.0;-0.0046019423636569235;-1.6566992509164926;
0.0;0.0;0.0;0.8;0.029912625363770005;0.0;-0.0046019423636569235;-1.8407769454627694;
1.0;0.1;0.1;0.1;0.029912625363770005;0.0;-0.0046019423636569235;-1.9811361875543054;
0.0;0.0;0.0;0.8;0.03451456772742692;0.0;-0.0023009711818284618;-2.0800779483729293;
0.1;0.1;1.0;1.0;0.05062136600022615;0.006902913545485385;0.0023009711818284618;-2.1445051414641263;
0.0;0.0;0.0;0.8;0.07593204900033924;0.020708740636456155;0.020708740636456155;-2.176718738009725;
0.1;1.0;0.1;1.0;0.10814564554593771;0.03681553890925539;0.04371845245474077;-2.1836216515552103;
0.0;0.0;0.0;0.8;0.1449611844551931;0.05522330836388308;0.07133010663668231;-2.1813206803733816;
1.0;0.1;0.1;1.0;0.17027186745530618;0.06902913545485384;0.09433981845496692;-2.176718738009725;
0.0;0.0;0.0;0.8;0.17257283863713463;0.07363107781851078;0.1012427320004523;-2.172116795646068;
1.0;1.0;0.1;0.1;0.17257283863713463;0.07363107781851078;0.1012427320004523;-2.162912910918754;
0.0;0.0;0.0;0.8;0.17257283863713463;0.07363107781851078;0.1012427320004523;-2.1445051414641263;
1.0;0.1;1.0;0.1;0.17257283863713463;0.07363107781851078;0.1012427320004523;-2.12379640082767;
0.0;0.0;0.0;0.8;0.17257283863713463;0.07363107781851078;0.1012427320004523;-2.100786689009386;
0.1;1.0;1.0;0.1;0.17257283863713463;0.07363107781851078;0.1012427320004523;-2.082378919554758;
0.0;0.0;0.0;0.8;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.0708740636456158;
0.1;1.0;1.0;1.0;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
0.0;0.0;0.0;0.8;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
1.0;0.1;1.0;1.0;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
0.0;0.0;0.0;0.8;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
1.0;1.0;0.1;1.0;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
0.0;0.0;0.0;0.8;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
1.0;1.0;1.0;0.1;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
0.0;0.0;0.0;0.8;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
1.0;1.0;1.0;1.0;0.1679708962734777;0.07363107781851078;0.1012427320004523;-2.068573092463787;
